Payment{paymentId=1, paymentAmount=12.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-09-28}
Payment{paymentId=71, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Failed', paymentDate=2025-10-09}
Payment{paymentId=72, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-09}
Payment{paymentId=73, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-09}
Payment{paymentId=74, paymentAmount=210.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-09}
Payment{paymentId=76, paymentAmount=1350.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-11}
Payment{paymentId=77, paymentAmount=235230.0, paymentMethod='Card', paymentStatus='Pending', paymentDate=2025-10-11}
Payment{paymentId=78, paymentAmount=235.0, paymentMethod='Cash', paymentStatus='Completed', paymentDate=2025-10-11}
Payment{paymentId=79, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Pending', paymentDate=2025-10-11}
Payment{paymentId=80, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-11}
Payment{paymentId=82, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-11}
Payment{paymentId=85, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-12}
Payment{paymentId=86, paymentAmount=0.0, paymentMethod='Cash', paymentStatus='Completed', paymentDate=2025-10-12}
Payment{paymentId=87, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-12}
Payment{paymentId=89, paymentAmount=2.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-13}
Payment{paymentId=91, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-13}
Payment{paymentId=96, paymentAmount=2.0, paymentMethod='Card', paymentStatus='Failed', paymentDate=2025-10-14}
Payment{paymentId=98, paymentAmount=333333.0, paymentMethod='EFT', paymentStatus='Failed', paymentDate=2025-10-14}
Payment{paymentId=99, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-15}
Payment{paymentId=100, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Failed', paymentDate=2025-10-15}
Payment{paymentId=101, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-16}
Payment{paymentId=102, paymentAmount=3.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-16}
Payment{paymentId=103, paymentAmount=200.0, paymentMethod='Card', paymentStatus='Failed', paymentDate=2025-10-16}
Payment{paymentId=105, paymentAmount=999.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-16}
Payment{paymentId=106, paymentAmount=300.0, paymentMethod='EFT', paymentStatus='Completed', paymentDate=2025-10-16}
Payment{paymentId=107, paymentAmount=2.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-16}
Payment{paymentId=111, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-16}
Payment{paymentId=112, paymentAmount=1200.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-16}
Payment{paymentId=114, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-16}
Payment{paymentId=115, paymentAmount=3.0, paymentMethod='Card', paymentStatus='Failed', paymentDate=2025-10-16}
Payment{paymentId=116, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Failed', paymentDate=2025-10-17}
Payment{paymentId=117, paymentAmount=0.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-17}
Payment{paymentId=118, paymentAmount=0.0, paymentMethod='Cash', paymentStatus='Completed', paymentDate=2025-10-17}
